date,active_addresses,n_transactions,hash_rate,miners_revenue,mempool_size
2009-01-03,2.0,,4.97102696296296e-08,,
2009-01-04,2.0,,0.0,,
2009-01-05,2.0,,0.0,,
2009-01-06,2.0,,0.0,,
2009-01-07,2.0,,0.0,,
2009-01-08,2.0,,0.0,,
2009-01-09,14.0,,6.95943774814815e-07,,
2009-01-10,60.0,,1.54101835851852e-06,,
2009-01-11,93.0,,5.26928858074074e-06,,
2009-01-12,102.0,,4.42421399703704e-06,,
2009-01-13,123.0,,5.71668100740741e-06,,
2009-01-14,130.0,,6.26349397333333e-06,,
2009-01-15,134.0,,6.31320424296296e-06,,
2009-01-16,110.0,,5.76639127703704e-06,,
2009-01-17,109.0,109.0,5.36870912e-06,0.0,
2009-01-18,108.0,108.0,5.02073723259259e-06,0.0,
2009-01-19,117.0,117.0,5.91552208592593e-06,0.0,
2009-01-20,115.0,115.0,5.76639127703704e-06,0.0,
2009-01-21,105.0,105.0,5.61726046814815e-06,0.0,
2009-01-22,90.0,90.0,3.72827022222222e-06,0.0,
2009-01-23,86.0,86.0,3.33058806518518e-06,0.0,
2009-01-24,202.0,202.0,9.8923436562963e-06,0.0,
2009-01-25,192.0,192.0,9.64379230814815e-06,0.0,
2009-01-26,97.0,97.0,5.76639127703704e-06,0.0,
2009-01-27,98.0,98.0,5.12015777185185e-06,0.0,
2009-01-28,112.0,112.0,5.12015777185185e-06,0.0,
2009-01-29,122.0,122.0,6.06465289481481e-06,0.0,
2009-01-30,117.0,117.0,6.01494262518519e-06,0.0,
2009-01-31,139.0,139.0,6.41262478222222e-06,0.0,
2009-02-01,114.0,114.0,5.76639127703704e-06,0.0,
2009-02-02,129.0,129.0,6.31320424296296e-06,0.0,
2009-02-03,153.0,155.0,6.76059666962963e-06,0.0,
2009-02-04,119.0,119.0,6.11436316444444e-06,0.0,
2009-02-05,126.0,126.0,6.01494262518519e-06,0.0,
2009-02-06,122.0,122.0,6.41262478222222e-06,0.0,
2009-02-07,134.0,133.0,6.26349397333333e-06,0.0,
2009-02-08,133.0,133.0,6.66117613037037e-06,0.0,
2009-02-09,135.0,135.0,6.36291451259259e-06,0.0,
2009-02-10,120.0,120.0,6.31320424296296e-06,0.0,
2009-02-11,135.0,135.0,6.51204532148148e-06,0.0,
2009-02-12,119.0,119.0,5.8658118162963e-06,0.0,
2009-02-13,119.0,124.0,6.16407343407407e-06,0.0,
2009-02-14,136.0,136.0,7.00914801777778e-06,0.0,
2009-02-15,131.0,131.0,6.06465289481481e-06,0.0,
2009-02-16,123.0,123.0,6.11436316444444e-06,0.0,
2009-02-17,117.0,117.0,5.8658118162963e-06,0.0,
2009-02-18,118.0,118.0,6.16407343407407e-06,0.0,
2009-02-19,125.0,125.0,5.81610154666667e-06,0.0,
2009-02-20,122.0,122.0,6.36291451259259e-06,0.0,
2009-02-21,114.0,114.0,5.46812965925926e-06,0.0,
2009-02-22,125.0,125.0,6.01494262518519e-06,0.0,
