date,open,high,low,close,volume_btc,volume_usd,source
2014-11-28,363.59,381.34,360.57,376.28,8617.15,3220878.18,early-history
2014-11-29,376.42,386.6,372.25,376.72,7245.19,2746157.05,early-history
2014-11-30,376.57,381.99,373.32,373.34,3046.33,1145566.61,early-history
2014-12-01,376.4,382.31,373.03,378.39,6660.56,2520662.37,early-history
2014-12-02,378.39,382.86,375.23,379.25,6832.53,2593576.46,early-history
2014-12-03,379.25,383.0,374.23,376.67,7908.29,2998357.92,early-history
2014-12-04,376.67,378.99,360.01,365.2,8865.09,3297896.46,early-history
2014-12-05,365.2,377.89,363.99,374.95,8951.16,3331762.49,early-history
2014-12-06,374.95,376.99,371.31,375.07,2300.21,861748.71,early-history
2014-12-07,375.07,377.5,373.16,376.87,2429.62,913715.62,early-history
2014-12-08,376.87,377.45,364.6,364.61,9920.84,3655238.4,early-history
2014-12-09,364.61,365.48,343.97,350.49,20940.84,7376463.45,early-history
2014-12-10,350.49,353.74,347.23,348.13,6579.79,2304335.87,early-history
2014-12-11,348.13,364.43,339.8,348.98,16533.38,5842055.01,early-history
2014-12-12,348.98,358.59,348.0,354.48,8039.95,2846451.59,early-history
2014-12-13,354.48,354.95,347.03,351.45,3880.75,1359211.39,early-history
2014-12-14,351.45,351.98,348.96,350.17,561.33,196831.56,early-history
2014-12-15,350.17,350.17,350.17,350.17,0.0,0.0,early-history
2014-12-16,350.17,350.17,330.0,330.02,5677.83,1902071.15,early-history
2014-12-17,331.56,335.99,315.23,321.1,23478.02,7586686.22,early-history
2014-12-18,321.32,325.61,304.99,312.17,21637.58,6788858.09,early-history
2014-12-19,310.48,320.0,307.11,318.0,15958.56,4999167.76,early-history
2014-12-20,317.23,333.0,316.52,329.99,11146.4,3617196.63,early-history
2014-12-21,332.58,332.98,318.78,323.15,6510.0,2114707.57,early-history
2014-12-22,322.24,333.99,319.9,330.52,11646.6,3821126.0,early-history
2014-12-23,330.52,338.99,327.49,335.49,7804.03,2604314.14,early-history
2014-12-24,337.0,337.0,320.92,322.14,5544.8,1826465.31,early-history
2014-12-25,320.92,324.23,316.63,319.39,3924.9,1255322.02,early-history
2014-12-26,319.0,332.0,316.64,330.88,6347.26,2066944.34,early-history
2014-12-27,330.97,330.97,311.63,315.89,8639.54,2747753.48,early-history
2014-12-28,315.89,319.56,311.22,316.63,4089.61,1288906.81,early-history
2014-12-29,316.63,320.14,311.61,314.78,5901.06,1859591.78,early-history
2014-12-30,314.78,316.77,310.0,311.94,9894.24,3091941.68,early-history
2014-12-31,311.94,320.0,310.69,319.25,6097.71,1925334.88,early-history
2015-01-01,319.25,321.0,312.6,316.31,3223.06,1018388.35,early-history
2015-01-02,316.31,317.01,311.96,316.51,3472.05,1093571.94,early-history
2015-01-03,316.51,316.58,285.0,286.01,20350.46,6078845.04,early-history
2015-01-04,286.01,289.81,255.0,264.62,42650.57,11614560.04,early-history
2015-01-05,264.62,280.0,262.94,276.8,9752.08,2655979.12,early-history
2015-01-06,276.8,276.8,276.8,276.8,0.0,0.0,early-history
2015-01-07,276.8,276.8,276.8,276.8,0.0,0.0,early-history
2015-01-08,276.8,276.8,276.8,276.8,0.0,0.0,early-history
2015-01-09,276.8,276.8,276.8,276.8,0.0,0.0,early-history
2015-01-10,276.8,276.8,276.8,276.8,0.0,0.0,early-history
2015-01-11,276.8,276.8,276.8,276.8,0.0,0.0,early-history
2015-01-12,270.4,272.43,263.54,268.16,7909.25,2133679.78,early-history
2015-01-13,268.16,268.72,216.0,221.0,57653.9,13652228.51,early-history
2015-01-14,221.0,230.89,152.4,162.0,123599.76,23647658.54,early-history
2015-01-15,162.0,233.9,161.1,208.81,86158.17,17721319.5,early-history
2015-01-16,214.77,223.15,198.04,206.6,34657.09,7308109.72,early-history
2015-01-17,206.6,212.84,192.17,200.1,19933.78,4007435.83,early-history
2015-01-18,200.1,222.0,195.02,211.42,18205.49,3816641.51,early-history
2015-01-19,210.05,220.94,207.7,216.88,12796.47,2729178.12,early-history
2015-01-20,217.84,217.84,201.98,211.08,14234.73,2998319.48,early-history
2015-01-21,211.08,228.9,205.0,228.59,22796.06,4937625.47,early-history
2015-01-22,228.59,239.0,226.01,233.0,25809.37,6003089.46,early-history
2015-01-23,233.0,240.0,225.55,233.03,15246.43,3539626.61,early-history
2015-01-24,233.03,249.99,230.03,249.99,13633.14,3297573.46,early-history
2015-01-25,249.99,257.0,241.33,253.09,28139.7,7019125.49,early-history
2015-01-26,253.09,309.9,253.09,269.5,55355.5,15614774.92,early-history
2015-01-27,269.5,278.51,243.1,262.99,21293.57,5501345.88,early-history
2015-01-28,262.99,266.45,225.91,236.2,27595.15,6774004.56,early-history
2015-01-29,236.2,242.18,220.0,234.75,26178.79,6076004.2,early-history
2015-01-30,234.75,244.98,227.26,232.6,19832.17,4653564.37,early-history
2015-01-31,232.6,234.8,215.75,217.98,19706.27,4494529.82,early-history
