,0
rsi14,0.0486
bb_width,0.0447
bb_pctb,0.0423
ret_lag1,0.0391
momentum20,0.0376
hash_rate_chg,0.0361
miners_revenue_chg,0.0351
ret_mean20,0.0336
parkinson,0.0318
garman_klass,0.027
momentum10,0.02
vol_ratio,0.0171
dow,0.017
ret_std20,0.0165
macd,0.0151
garch_vol,0.0149
ret_mean10,0.0149
ret_std10,0.0148
ret_mean5,0.0115
ret_lag5,0.0095
ret_lag3,0.0084
month,0.0083
mempool_size_chg,0.0075
ret_std5,0.0069
ret_lag2,0.0045
n_transactions_chg,0.0035
macd_hist,0.003
ret_lag10,0.0014
active_addresses_chg,0.0012
vol_change,0.001
