,0
bb_pctb,0.05518602
hash_rate_chg,0.044842467
ret_mean20,0.04303036
bb_width,0.04279479
rsi14,0.042670183
garman_klass,0.042291127
macd,0.040972892
ret_std20,0.040476948
garch_vol,0.03991565
ret_lag1,0.03859737
ret_mean5,0.0381724
ret_std10,0.036820926
ret_mean10,0.03514101
macd_hist,0.03452679
n_transactions_chg,0.034276646
vol_ratio,0.034199383
miners_revenue_chg,0.0338894
ret_lag10,0.033366468
ret_lag3,0.03302748
dow,0.030829227
active_addresses_chg,0.029774213
parkinson,0.02910737
mempool_size_chg,0.029000213
vol_change,0.02893223
ret_lag5,0.027905468
month,0.027697334
ret_lag2,0.026713436
ret_std5,0.025842344
momentum10,0.0
momentum20,0.0
