fold,model,n,accuracy,AUC
1,LogReg,182,0.4835,0.4888
1,RandomForest,182,0.5385,0.5083
1,XGBoost,182,0.5165,0.5339
2,LogReg,183,0.4863,0.5474
2,RandomForest,183,0.5246,0.5428
2,XGBoost,183,0.4809,0.6139
3,LogReg,183,0.4208,0.424
3,RandomForest,183,0.4098,0.4668
3,XGBoost,183,0.4699,0.5068
4,LogReg,182,0.467,0.5118
4,RandomForest,182,0.4945,0.5299
4,XGBoost,182,0.4725,0.4771
5,LogReg,183,0.4754,0.4755
5,RandomForest,183,0.4973,0.4861
5,XGBoost,183,0.5246,0.5241
6,LogReg,183,0.5464,0.6004
6,RandomForest,183,0.5519,0.5161
6,XGBoost,183,0.5519,0.5364
7,LogReg,182,0.5,0.4886
7,RandomForest,182,0.522,0.5299
7,XGBoost,182,0.544,0.5264
8,LogReg,183,0.5246,0.5382
8,RandomForest,183,0.5082,0.5489
8,XGBoost,183,0.5082,0.5105
9,LogReg,183,0.4754,0.5209
9,RandomForest,183,0.5027,0.4859
9,XGBoost,183,0.5301,0.5213
10,LogReg,183,0.4809,0.4718
10,RandomForest,183,0.459,0.4994
10,XGBoost,183,0.4536,0.4838
